roster_id,employee_id,shift,hours,work_date,services,location,pay_period_id
3b10d35f-c0ed-4a5f-b35f-6208bf86b5d8,E0000001,10:53 AM - 06:29 PM,7.6,4/04/2022,Office Cleaning,North Ruth,2022W14
71971f16-7d8d-4293-bec8-254de899368d,E0000001,11:21 AM - 08:57 PM,7.6,5/04/2022,Sanitization,North Ruth,2022W14
1ca229a7-e8ff-4d9e-b2b3-21520818f97d,E0000001,11:00 AM - 08:36 PM,7.6,6/04/2022,Office Cleaning,North Ruth,2022W14
ca271641-788b-446f-9edb-ed9e3e1741f5,E0000001,09:29 AM - 05:05 PM,7.6,7/04/2022,Office Cleaning,North Ruth,2022W14
8d6f9bcf-fd5b-44b9-a02b-ccf3b738f4a9,E0000001,10:51 AM - 08:27 PM,7.6,8/04/2022,Waste Disposal,North Ruth,2022W14
53e788f8-36bc-4624-97a2-648181c2e020,E0000001,08:02 AM - 03:38 PM,7.6,11/04/2022,Sanitization,North Ruth,2022W15
afd7470f-b82e-43b1-962e-84742132f39e,E0000001,11:06 AM - 06:42 PM,7.6,12/04/2022,Sanitization,North Ruth,2022W15
deb5de45-e542-4317-836e-1ab20faff12b,E0000001,08:40 AM - 05:16 PM,7.6,13/04/2022,Waste Disposal,North Ruth,2022W15
5a21f6c6-8649-42d5-9714-594d00b883e8,E0000001,11:28 AM - 07:04 PM,7.6,14/04/2022,Office Cleaning,North Ruth,2022W15
13056d0c-4535-4ffc-879a-15654d4ccb4a,E0000001,09:14 AM - 07:50 PM,7.6,19/04/2022,Office Cleaning,North Ruth,2022W16
1e70ff7e-e410-462d-a1dc-c53d27fcace3,E0000001,10:09 AM - 07:45 PM,7.6,20/04/2022,Office Cleaning,North Ruth,2022W16
51e0dc24-8434-481f-aa40-eb4d3280929d,E0000001,10:38 AM - 06:14 PM,7.6,21/04/2022,Sanitization,North Ruth,2022W16
7b4a7592-46f8-47fb-9547-6876218e265c,E0000001,09:17 AM - 04:53 PM,7.6,22/04/2022,Office Cleaning,North Ruth,2022W16
ffa2ccb5-975c-4cb6-a756-95e58650cded,E0000001,10:25 AM - 06:01 PM,7.6,26/04/2022,Waste Disposal,North Ruth,2022W17
a5448824-4cae-46cf-9d55-a23cf8bbb04d,E0000001,08:42 AM - 07:18 PM,7.6,27/04/2022,Waste Disposal,North Ruth,2022W17
15c474a6-dbbc-4bf3-bfaa-77449938fbca,E0000001,10:09 AM - 05:45 PM,7.6,28/04/2022,Office Cleaning,North Ruth,2022W17
e5379923-0e43-4b41-827c-b4c111ba07e8,E0000001,10:54 AM - 06:30 PM,7.6,29/04/2022,Waste Disposal,North Ruth,2022W17
be32a70b-28d1-4157-93de-ad7e0e1f96b0,E0000001,09:59 AM - 05:35 PM,7.6,2/05/2022,Office Cleaning,North Ruth,2022W18
4e22d1dd-d232-400f-ab22-9a5ef4e10a2e,E0000001,08:52 AM - 07:28 PM,7.6,3/05/2022,Waste Disposal,North Ruth,2022W18
84d125d8-9a95-48ab-ac4a-7342f08bcffd,E0000001,10:23 AM - 05:59 PM,7.6,4/05/2022,Sanitization,North Ruth,2022W18
c32081cd-b3e9-49fc-8863-44ee098c1c02,E0000001,08:07 AM - 03:43 PM,7.6,5/05/2022,Waste Disposal,North Ruth,2022W18
46eb4fb8-532c-4830-b852-d9cc3ef575f6,E0000001,08:50 AM - 03:26 PM,7.6,6/05/2022,Waste Disposal,North Ruth,2022W18
33c6ef18-fe6e-4945-b9f6-4552771ff9f4,E0000001,10:54 AM - 08:30 PM,7.6,9/05/2022,Sanitization,North Ruth,2022W19
0cf40093-8930-4d5b-ae94-74971f052dd5,E0000001,11:00 AM - 07:36 PM,7.6,10/05/2022,Waste Disposal,North Ruth,2022W19
cf87efc1-f3a4-437b-8c38-fb2902db70a3,E0000001,10:48 AM - 06:24 PM,7.6,11/05/2022,Sanitization,North Ruth,2022W19
53a1f62d-5051-4a39-8f28-a71974bf3fe4,E0000001,09:13 AM - 04:49 PM,7.6,12/05/2022,Waste Disposal,North Ruth,2022W19
ed0849fc-77e4-4b30-8726-6efe956068fd,E0000001,10:43 AM - 06:19 PM,7.6,13/05/2022,Office Cleaning,North Ruth,2022W19
